person,text,processed_text,description,processed_description,type,category
Logan_Henderson,"Logan Phillip Henderson (born September 14, 1989) is an American actor and singer. He played the role of Logan Mitchell on the Nickelodeon series Big Time Rush and is a former member of the Big Time Rush band. Henderson was born in Temple, Texas and raised in North Richland Hills, Texas. His father is a school therapist and his mom works in the pharmaceutical industry.He had a role as ""Teenage Boy #2"" on the television program Friday Night Lights, before moving to California at the age of 18 to pursue an acting career. Henderson's breakthrough role was Big Time Rush.","logan phillip henderson ( born september 14 , 1989 ) american actor singer . played role logan mitchell nickelodeon series big time rush former member big time rush band . henderson born temple , texas raised north richland hills , texas . father school therapist mom works pharmaceutical industry.he role `` teenage boy # 2 '' television program friday night lights , moving california age 18 pursue acting career . henderson 's breakthrough role big time rush .","American actor, singer and songwriter","american actor , singer songwriter",A,singer
Patryk_Dominik_Sztyber,"Patryk Dominik Sztyber (born 4 August 1979, in Opoczno), stage name Seth, is a Polish heavy metal musician. He is best known for being the rhythm guitarist, lead guitarist, and backing vocalist for Behemoth. He is also the guitarist for Polish death metal band Nomad. Behemoth  Demigod (2004) Slaves Shall Serve (2005) Demonica (2006) The Apostasy (2007) At the Arena ov Aion – Live Apostasy (2008) Ezkaton (2008) Evangelion (2009) Evangelia Heretika (2010) Abyssus Abyssum Invocat (2011) The Satanist (2014) I Loved You at Your Darkest (2018)Nomad  Disorder (1996) The Tail of Substance (1997) Devilish Whirl (1999) Demonic Verses (Blessed Are Those Who Kill Jesus) (2004) The Independence of Observation Choice (2007) Transmigration of Consciousness (2011) Transmorgrification (Partus) (2020)    ESP Custom EX 7 String guitar with Winged Chaostar and Pentagram Fret Inlays ESP LTD 400-BD ESP EX Diamond Plate ESP LTD Viper-407 Gibson Explorer 2x Laboga Mr. Hector Amplifiers 2x Laboga 312B Mr.Hector Cabinets Mark L rack systemMark L Midi Control System FC-12 Mark L Loop & Switch LS-145 Mark L DC/AC Power Box Mark L Mini Line Mixer Line 6 XT Pro Korg DTR 1 Tuner Neutrik & Switchcraft Boos Pitch Mogami Cable Furman Power D'Addario Strings Nologo Behemoth custom picks       Seth's profile at Behemoth's official website","patryk dominik sztyber ( born 4 august 1979 , opoczno ) , stage name seth , polish heavy metal musician . best known rhythm guitarist , lead guitarist , backing vocalist behemoth . also guitarist polish death metal band nomad . behemoth demigod ( 2004 ) slaves shall serve ( 2005 ) demonica ( 2006 ) apostasy ( 2007 ) arena ov aion – live apostasy ( 2008 ) ezkaton ( 2008 ) evangelion ( 2009 ) evangelia heretika ( 2010 ) abyssus abyssum invocat ( 2011 ) satanist ( 2014 ) loved darkest ( 2018 ) nomad disorder ( 1996 ) tail substance ( 1997 ) devilish whirl ( 1999 ) demonic verses ( blessed kill jesus ) ( 2004 ) independence observation choice ( 2007 ) transmigration consciousness ( 2011 ) transmorgrification ( partus ) ( 2020 ) esp custom ex 7 string guitar winged chaostar pentagram fret inlays esp ltd 400-bd esp ex diamond plate esp ltd viper-407 gibson explorer 2x laboga mr. hector amplifiers 2x laboga 312b mr.hector cabinets mark l rack systemmark l midi control system fc-12 mark l loop & switch ls-145 mark l dc/ac power box mark l mini line mixer line 6 xt pro korg dtr 1 tuner neutrik & switchcraft boos pitch mogami cable furman power d'addario strings nologo behemoth custom picks seth 's profile behemoth 's official website",Polish heavy metal musician,polish heavy metal musician,A,singer
Ariel_Winter,"Ariel Winter Workman (born January 28, 1998) is an American actress, best known for her role as Alex Dunphy in the comedy series Modern Family. Winter and her fellow Modern Family cast members won four Screen Actors Guild Awards for Best Ensemble in a Comedy Series. She is also known for voicing the title character in the Disney Junior show Sofia the First, and the voice of Penny Peterson in the 2014 animated film Mr. Peabody and Sherman. Winter was born in Fairfax, Virginia, on January 28, 1998, the daughter of Chrisoula (née Batistas) and Glenn Workman. Through her mother, she is of Greek descent, and through her father, of German descent.","ariel winter workman ( born january 28 , 1998 ) american actress , best known role alex dunphy comedy series modern family . winter fellow modern family cast members four screen actors guild awards best ensemble comedy series . also known voicing title character disney junior show sofia first , voice penny peterson 2014 animated film mr. peabody sherman . winter born fairfax , virginia , january 28 , 1998 , daughter chrisoula ( née batistas ) glenn workman . mother , greek descent , father , german descent .",American actress and singer,american actress singer,A,singer
Lisa_Zane,"Lisa Zane (born Elizabeth Frances Zane; April 5, 1961) is an American actress and singer from Greek diaspora. Zane was born in Chicago, Illinois, the daughter of Thalia and William George Zane, Sr., founders of a medical technical school. Her family's original surname, ""Zanetakos"", was anglicized to ""Zane"" by her father. Both of her parents are of Greek descent. She is the older sister of actor Billy Zane.","lisa zane ( born elizabeth frances zane ; april 5 , 1961 ) american actress singer greek diaspora . zane born chicago , illinois , daughter thalia william george zane , sr. , founders medical technical school . family 's original surname , `` zanetakos '' , anglicized `` zane '' father . parents greek descent . older sister actor billy zane .","American actress and singer who has starred on stage, television and in film","american actress singer starred stage , television film",A,singer
Marc_Anthony,"Marco Antonio Muñiz (born September 16, 1968), better known by his stage name Marc Anthony, is an American singer, songwriter, actor, record executive, television producer and philanthropist. Anthony is also the top selling tropical salsa artist of all time. The three-time Grammy Award and six-time Latin Grammy Award winner has sold more than 12 million albums worldwide. Known for his Latin salsa numbers and ballads, Anthony has won numerous awards and his achievements have been honored through various recognitions. He was the recipient of the 2009 Congressional Hispanic Caucus Institute (CHCI) Lifetime Achievement Award.","marco antonio muñiz ( born september 16 , 1968 ) , better known stage name marc anthony , american singer , songwriter , actor , record executive , television producer philanthropist . anthony also top selling tropical salsa artist time . three-time grammy award six-time latin grammy award winner sold 12 million albums worldwide . known latin salsa numbers ballads , anthony numerous awards achievements honored various recognitions . recipient 2009 congressional hispanic caucus institute ( chci ) lifetime achievement award .","American singer, actor, producer and philanthropist","american singer , actor , producer philanthropist",A,singer
Yuri_Stoyanov,"Yuri Nikolaevich Stoyanov (Russian: Ю́рий Никола́евич Стоя́нов; born July 10, 1957 in Odessa) is a  Soviet and Russian theater and film actor, musician. People's Artist of the Russian Federation (2001). Most famous comedian duo with Ilya Oleynikov. Yuri was born July 10, 1957 in Odessa, as a child he moved under Odessa to the village of Borodino. Mother is Russian, Yevgenia Leonidovna Stoyanova (born June 21, 1935), worked as deputy director for educational work, director of a pedagogical college and taught Ukrainian language and literature, honored worker of education of Ukraine.","yuri nikolaevich stoyanov ( russian : ю́рий никола́евич стоя́нов ; born july 10 , 1957 odessa ) soviet russian theater film actor , musician . people 's artist russian federation ( 2001 ) . famous comedian duo ilya oleynikov . yuri born july 10 , 1957 odessa , child moved odessa village borodino . mother russian , yevgenia leonidovna stoyanova ( born june 21 , 1935 ) , worked deputy director educational work , director pedagogical college taught ukrainian language literature , honored worker education ukraine .",Russian actor,russian actor,A,singer
Lionel_Richie,"Lionel Brockman Richie Jr. (born June 20, 1949) is an American singer, songwriter, musician, and television personality. During the 1970s, he recorded with the funk band the Commodores, and his solo career made him one of the most successful balladeers of the 1980s. Beginning in 1968, Richie was a member of the Commodores. The Commodores became established as a popular soul group; their first several albums had a danceable, funky sound, as in such tracks as ""Machine Gun"" and ""Brick House"". Over time, Richie wrote and sang more romantic, easy-listening ballads such as ""Easy"", ""Three Times a Lady"", ""Still"", and the breakup ballad ""Sail On"".","lionel brockman richie jr. ( born june 20 , 1949 ) american singer , songwriter , musician , television personality . 1970s , recorded funk band commodores , solo career made one successful balladeers 1980s . beginning 1968 , richie member commodores . commodores became established popular soul group ; first several albums danceable , funky sound , tracks `` machine gun '' `` brick house '' . time , richie wrote sang romantic , easy-listening ballads `` easy '' , `` three times lady '' , `` still '' , breakup ballad `` sail '' .","American singer-songwriter, musician, record producer and actor","american singer-songwriter , musician , record producer actor",A,singer
Daiki_Arioka,"Daiki Arioka (有岡 大貴, Arioka Daiki, born April 15, 1991) is a Japanese singer, actor, tarento, and model as well as member of Hey! Say! JUMP. He is under the management of Johnny & Associates. On June 2, 2003, he joined Johnny & Associates as a trainee.","daiki arioka ( 有岡 大貴 , arioka daiki , born april 15 , 1991 ) japanese singer , actor , tarento , model well member hey ! say ! jump . management johnny & associates . june 2 , 2003 , joined johnny & associates trainee .","Japanese actor, tarento and singer","japanese actor , tarento singer",A,singer
Poopy,"Josée Helihanta Ramahavalisoa, better known by her stage name Poopy, is a Malagasy pop singer who began singing in 1983. Lonely Planet declared Poopy a ""national treasure"". She has been active in educating young mothers about breastfeeding their infants as a ""nutrition ambassador"" for UNICEF. Music of Madagascar","josée helihanta ramahavalisoa , better known stage name poopy , malagasy pop singer began singing 1983 . lonely planet declared poopy `` national treasure '' . active educating young mothers breastfeeding infants `` nutrition ambassador '' unicef . music madagascar",Malagasy singer,malagasy singer,A,singer
Major_Harris_(singer),"Major Harris III (February 9, 1947 – November 9, 2012) was an American R&B singer, associated with the Philadelphia soul sound and the Delfonics (early 1970s–1974). His biggest hit as a solo artist was the sultry 1975 single ""Love Won't Let Me Wait"". Harris was born in Richmond, Virginia. Early in his career, Harris sang with groups such as the Charmers, the Teenagers, the Jarmels, and the Nat Turner Rebellion, which also featured his songwriting brother, Joseph B. Jefferson, and recorded a few solo 7"" records on the Laurie and Okeh labels. In the early 1970s, he took over from Randy Cain as a member of the Delfonics; he quit the group to go solo in 1974.","major harris iii ( february 9 , 1947 – november 9 , 2012 ) american r & b singer , associated philadelphia soul sound delfonics ( early 1970s–1974 ) . biggest hit solo artist sultry 1975 single `` love wo n't let wait '' . harris born richmond , virginia . early career , harris sang groups charmers , teenagers , jarmels , nat turner rebellion , also featured songwriting brother , joseph b. jefferson , recorded solo 7 '' records laurie okeh labels . early 1970s , took randy cain member delfonics ; quit group go solo 1974 .",American R&B singer,american r & b singer,A,singer
